Encoding,Dataset,Block Size,Compression Ratio
REGER,USGS-Earthquakes,7,3.3204415049713116
REGER,USGS-Earthquakes,8,3.407439592174607
REGER,USGS-Earthquakes,9,3.472247456048612
REGER,USGS-Earthquakes,10,3.4887595204675677
REGER,USGS-Earthquakes,11,3.4690828385443484
REGER,USGS-Earthquakes,12,3.3985034313487428
REGER,USGS-Earthquakes,13,3.3267800329127826
REGER-Without-Reordering,USGS-Earthquakes,4,2.150884510079301
REGER-Without-Reordering,USGS-Earthquakes,5,2.5527207830108205
REGER-Without-Reordering,USGS-Earthquakes,6,2.892967197214228
REGER-Without-Reordering,USGS-Earthquakes,7,3.106363943685057
REGER-Without-Reordering,USGS-Earthquakes,8,3.2287085279461665
REGER-Without-Reordering,USGS-Earthquakes,9,3.290309279842015
REGER-Without-Reordering,USGS-Earthquakes,10,3.321629654512659
REGER-Without-Reordering,USGS-Earthquakes,11,3.332263736263736
REGER-Without-Reordering,USGS-Earthquakes,12,3.336198739905677
REGER-Without-Reordering,USGS-Earthquakes,13,3.2540823225151043
REGER,Vehicle-Charge,4,1.7650116974265662
REGER,Vehicle-Charge,5,1.985089899137553
REGER,Vehicle-Charge,6,2.1752362646163705
REGER,Vehicle-Charge,7,2.302085099169351
REGER,Vehicle-Charge,8,2.3507010559113732
REGER,Vehicle-Charge,9,2.3837107249429526
REGER,Vehicle-Charge,10,2.330130404941661
REGER,Vehicle-Charge,11,2.2442571475789124
REGER,Vehicle-Charge,12,2.150435471100554
REGER,Vehicle-Charge,13,2.150435471100554
REGER-Without-Reordering,Vehicle-Charge,4,1.7168141592920352
REGER-Without-Reordering,Vehicle-Charge,5,1.9314464514293839
REGER-Without-Reordering,Vehicle-Charge,6,2.108695652173913
REGER-Without-Reordering,Vehicle-Charge,7,2.2013292267790567
REGER-Without-Reordering,Vehicle-Charge,8,2.2599434182060247
REGER-Without-Reordering,Vehicle-Charge,9,2.2892784895482134
REGER-Without-Reordering,Vehicle-Charge,10,2.2966345340774565
REGER-Without-Reordering,Vehicle-Charge,11,2.2020431328036323
REGER-Without-Reordering,Vehicle-Charge,12,1.8759497168117143
