Encoding,Dataset,p,Compression Ratio
REGER-64-DOUBLE,TY-Fuel,1,3.36489216612811
REGER-64-DOUBLE,TY-Fuel,2,2.8330879515144587
REGER-64-DOUBLE,TY-Fuel,3,2.532373365360659
REGER-64-DOUBLE,TY-Fuel,4,2.224125742029842
REGER-64-DOUBLE,TY-Fuel,5,2.0451578840561266
REGER-64-DOUBLE,TY-Fuel,6,1.9010987429919763
REGER-64-DOUBLE,TY-Fuel,7,1.772156048682134
REGER-64-DOUBLE,TY-Fuel,8,1.6678190306958922
REGER-64-DOUBLE,TY-Fuel,9,1.56526820947111
REGER-32-FLOAT,TY-Transport,1,7.314032873072847
REGER-32-FLOAT,TY-Transport,2,6.891577538600494
REGER-32-FLOAT,TY-Transport,3,6.423245713269721
REGER-32-FLOAT,TY-Transport,4,6.104547031029774
REGER-32-FLOAT,TY-Transport,5,6.1161242762225845
REGER-32-FLOAT,TY-Transport,6,5.7303356736946895
REGER-32-FLOAT,TY-Transport,7,5.561827794712872
REGER-32-FLOAT,TY-Transport,8,5.563818748039509
REGER-32-FLOAT,TY-Transport,9,5.256214390597211
REGER-64-DOUBLE,TY-Transport,1,7.110239898555525
REGER-64-DOUBLE,TY-Transport,2,6.623217936605244
REGER-64-DOUBLE,TY-Transport,3,6.115201052775572
REGER-64-DOUBLE,TY-Transport,4,5.760835414488837
REGER-64-DOUBLE,TY-Transport,5,5.706766583904437
REGER-64-DOUBLE,TY-Transport,6,5.317922157130892
REGER-64-DOUBLE,TY-Transport,7,5.121287358940825
REGER-64-DOUBLE,TY-Transport,8,5.072719630065532
REGER-64-DOUBLE,TY-Transport,9,4.771343039637652
REGER-32-FLOAT,USGS-Earthquakes,1,3.3782600461224814
REGER-32-FLOAT,USGS-Earthquakes,2,3.2680519032633533
REGER-32-FLOAT,USGS-Earthquakes,3,3.1972473759219198
REGER-32-FLOAT,USGS-Earthquakes,4,3.13563744532416
REGER-32-FLOAT,USGS-Earthquakes,5,3.0836775336220263
REGER-32-FLOAT,USGS-Earthquakes,6,3.0348637626041484
REGER-32-FLOAT,USGS-Earthquakes,7,2.993213752802926
REGER-32-FLOAT,USGS-Earthquakes,8,2.9490828164028122
REGER-32-FLOAT,USGS-Earthquakes,9,2.9156373193166885
REGER-64-DOUBLE,USGS-Earthquakes,1,3.334309512246525
REGER-64-DOUBLE,USGS-Earthquakes,2,3.2066748445497226
