Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Compression Ratio
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,1,RAKE,UNCOMPRESSED,2655799,1800,3710,10165.0,0.6849730458221024
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,1,CHIMP,UNCOMPRESSED,182899,113599,3710,4478.0,0.3017520215633423
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,1,BUFF,UNCOMPRESSED,383600,94901,3710,5118.0,0.3448787061994609
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,0,PLAIN,UNCOMPRESSED,348000,34001,3710,14840.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,0,TS_2DIFF,UNCOMPRESSED,84300,82200,3710,8907.0,0.6002021563342318
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,0,RLE,UNCOMPRESSED,158201,69801,3710,14403.0,0.9705525606469003
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,0,SPRINTZ,UNCOMPRESSED,753399,91800,3710,10414.0,0.7017520215633423
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,0,GORILLA,UNCOMPRESSED,279100,75600,3710,10764.0,0.7253369272237197
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,0,RLBE,UNCOMPRESSED,11083800,370000,3710,9836.0,0.6628032345013477
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,0,RAKE,UNCOMPRESSED,2478400,2601,3710,20600.0,1.3881401617250675
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,0,CHIMP,UNCOMPRESSED,435301,144900,3710,13634.0,0.918733153638814
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,0,BUFF,UNCOMPRESSED,924501,179101,3710,13465.0,0.907345013477089
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,1,PLAIN,UNCOMPRESSED,350201,32901,3710,14840.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,1,TS_2DIFF,UNCOMPRESSED,65400,54800,3710,3381.0,0.2278301886792453
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,1,RLE,UNCOMPRESSED,150101,55101,3710,5123.0,0.34521563342318057
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,1,SPRINTZ,UNCOMPRESSED,727900,95700,3710,3407.0,0.2295822102425876
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,1,GORILLA,UNCOMPRESSED,159201,64199,3710,5591.0,0.3767520215633423
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,1,RLBE,UNCOMPRESSED,18771900,407600,3710,10261.0,0.6914420485175202
