Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Compression Ratio
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,0,GORILLA,UNCOMPRESSED,1423800,403200,17785,51416.0,0.7227438852965983
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,0,RLBE,UNCOMPRESSED,6763200,516400,17785,16435.0,0.23102333427045263
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,0,RAKE,UNCOMPRESSED,16841300,2900,17785,115099.0,1.6179224065223503
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,0,CHIMP,UNCOMPRESSED,1130000,475100,17785,29993.0,0.42160528535282543
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,0,BUFF,UNCOMPRESSED,5269300,1117700,17785,64487.0,0.9064801799269047
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,1,PLAIN,UNCOMPRESSED,1780700,291200,17785,71140.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,1,TS_2DIFF,UNCOMPRESSED,478500,315700,17785,15462.0,0.21734607815574922
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,1,RLE,UNCOMPRESSED,779100,308300,17785,19951.0,0.2804470059038516
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,1,SPRINTZ,UNCOMPRESSED,3787800,752200,17785,12270.0,0.17247680629744166
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,1,GORILLA,UNCOMPRESSED,819200,477300,17785,17641.0,0.24797582232218163
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,1,RLBE,UNCOMPRESSED,100354700,1952000,17785,38971.0,0.54780714084903
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,1,RAKE,UNCOMPRESSED,17922800,3800,17785,44133.0,0.6203682878830475
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,1,CHIMP,UNCOMPRESSED,954000,409400,17785,19524.0,0.2744447568175429
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,1,BUFF,UNCOMPRESSED,1775100,408100,17785,20025.0,0.28148720832161933
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,0,PLAIN,UNCOMPRESSED,6798900,1037200,58373,233492.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,0,TS_2DIFF,UNCOMPRESSED,1749000,1671300,58373,69728.0,0.2986312164870745
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,0,RLE,UNCOMPRESSED,3173900,1184600,58373,226443.0,0.9698105288403885
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,0,SPRINTZ,UNCOMPRESSED,15145600,2514400,58373,96253.0,0.41223253901632606
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,0,GORILLA,UNCOMPRESSED,27655600,1894900,58373,166632.0,0.7136518595926199
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,0,RLBE,UNCOMPRESSED,461121100,3491400,58373,86242.0,0.3693574083908656
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,0,RAKE,UNCOMPRESSED,103498300,2700,58373,381991.0,1.6359918112826135
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,0,CHIMP,UNCOMPRESSED,5582600,2836400,58373,97825.0,0.41896510372946394
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,0,BUFF,UNCOMPRESSED,16438200,4496800,58373,211619.0,0.9063222722834187
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,1,PLAIN,UNCOMPRESSED,5867500,835900,58373,233492.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,1,TS_2DIFF,UNCOMPRESSED,1388500,1507400,58373,51104.0,0.21886831240470767
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,1,RLE,UNCOMPRESSED,2929600,1220000,58373,35751.0,0.15311445360012335
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,1,SPRINTZ,UNCOMPRESSED,11963400,1971100,58373,33404.0,0.1430627173522005
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,1,GORILLA,UNCOMPRESSED,1504900,1250400,58373,25679.0,0.10997807205386052
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,1,RLBE,UNCOMPRESSED,251182600,8389500,58373,49853.0,0.21351052712726776
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,1,RAKE,UNCOMPRESSED,80802600,5500,58373,148923.0,0.6378077193222894
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,1,CHIMP,UNCOMPRESSED,3762100,2240400,58373,62672.0,0.2684117657136005
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic3.csv,1,BUFF,UNCOMPRESSED,6084500,1446700,58373,65686.0,0.2813201308824285
